id,name
en:and-salt,and-salt
en:barn-eggs,Barn eggs
en:citrus-fibre,Citrus fibre
en:melon,Melon
en:cooked-rice,Cooked rice
en:celery-powder,Celery powder
en:salted-butter,Salted butter
en:d-alpha-tocopheryl-acetate,D-alpha tocopheryl acetate
en:red-wine,Red wine
en:sel,sel
en:milk-protein-isolate,Milk protein isolate
en:colour-retention-agent,Colour retention agent
en:chickpea-flour,Chickpea flour
en:mandarin,Mandarin
en:distilled-monoglycerides,distilled-monoglycerides
en:corn-dextrose,Corn dextrose
en:caramelised-sugar-syrup,Caramelised sugar syrup
en:passion-fruit,passion-fruit
en:manganese-sulfate,Manganese sulfate
en:sorghum,Sorghum
en:rapeseed-lecithin,Rapeseed lecithin
en:raspberry-juice,Raspberry juice
en:e141,E141
en:coconut-cream,Coconut cream
en:biscuit,Biscuit
en:e504,E504
en:parboiled-rice,Parboiled rice
en:contains-less-than-2-of-each-of-the-following,contains-less-than-2-of-each-of-the-following
en:e221,E221
en:pine-nuts,Pine nuts
en:low-fat-milk,Low-fat milk
en:cereals-containing-gluten,Cereals containing gluten
en:partially-hydrogenated-palm-kernel-oil,partially-hydrogenated-palm-kernel-oil
en:chicken-egg,Chicken egg
en:animal-based-rennet,Animal-based rennet
en:lovage,Lovage
en:chromium,Chromium
en:peppermint-oil,Peppermint oil
en:pasteurised-goat-milk,Pasteurised goat milk
en:sucre,sucre
en:psyllium,Psyllium
en:mixed-spices,Mixed spices
en:habanero-chili,Habanero chili
en:beech-wood-smoke,Beech wood smoke
en:basmati-rice,Basmati rice
en:guava,Guava
en:bulgur,Bulgur
en:chestnut,Chestnut
en:e472b,E472b
en:prune,Prune
